[20Dec2024 22:00:45.850] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20Dec2024 22:00:45.854] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 21.0.5 by Microsoft; OS Linux arch amd64 version 6.5.0-1025-azure
[20Dec2024 22:00:46.917] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[20Dec2024 22:00:46.973] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Fuego/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[20Dec2024 22:00:47.021] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[20Dec2024 22:00:47.022] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/Fuego/servidor_minecraft
[20Dec2024 22:00:47.023] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/Fuego/servidor_minecraft/mods
[20Dec2024 22:00:47.024] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[20Dec2024 22:00:47.026] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/Fuego/servidor_minecraft/config/mods_optimizer/config.toml
[20Dec2024 22:00:47.083] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/Fuego/servidor_minecraft and mods dir /workspaces/Fuego/servidor_minecraft/mods for target SERVER in 58 ms.
[20Dec2024 22:00:47.084] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[20Dec2024 22:00:47.086] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~134 mods in /workspaces/Fuego/servidor_minecraft/mods with file extension .jar ...
[20Dec2024 22:00:47.122] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2023-12-11T00:18:42+01:00:
[20Dec2024 22:00:47.129] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-06-29-18:00:11:
[20Dec2024 22:00:47.133] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to DEFAULT
[20Dec2024 22:00:47.145] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.yungsapi[1] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/YungsApi-1.20-Forge-4.0.5.jar!
[20Dec2024 22:00:47.152] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterdungeons[1] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/YungsBetterDungeons-1.20-Forge-4.0.4.jar!
[20Dec2024 22:00:47.158] [main/ERROR] [Mods Optimizer/]: TOML file META-INF/mods.toml not found in java.util.jar.JarFile@6f6962ba
[20Dec2024 22:00:47.159] [main/WARN] [Mods Optimizer/]: ⚠ Found no META-INF/mods.toml file for /workspaces/Fuego/servidor_minecraft/mods/kotlinforforge-4.11.0-all.jar!
[20Dec2024 22:00:47.198] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterjungletemples[1] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/YungsBetterJungleTemples-1.20-Forge-2.0.5.jar!
[20Dec2024 22:00:47.209] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterendisland[1] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/YungsBetterEndIsland-1.20-Forge-2.0.6.jar!
[20Dec2024 22:00:47.247] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.bettermineshafts[1] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/YungsBetterMineshafts-1.20-Forge-4.0.4.jar!
[20Dec2024 22:00:47.251] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.betterwitchhuts[1] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/YungsBetterWitchHuts-1.20-Forge-3.0.3.jar!
[20Dec2024 22:00:47.252] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for paraglider from UNKNOWN to DEFAULT
[20Dec2024 22:00:47.266] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.patchouli[0] section of the mods.toml file /workspaces/Fuego/servidor_minecraft/mods/Patchouli-1.20.1-84-FORGE.jar!
[20Dec2024 22:00:47.278] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/Fuego/servidor_minecraft/mods/spellbound-weapons-v4.0.5m.jar, which is expected in some cases.
[20Dec2024 22:00:47.304] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 library mods in 127 mods.
[20Dec2024 22:00:47.304] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 2 data pack mods in 127 mods.
[20Dec2024 22:00:47.305] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 server mods in 127 mods.
[20Dec2024 22:00:47.305] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 123 default mods in 127 mods.
[20Dec2024 22:00:47.306] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[20Dec2024 22:00:47.306] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[20Dec2024 22:00:47.307] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[20Dec2024 22:00:47.308] [main/INFO] [Mods Optimizer/]: | weaponmaster_ydm                   | 4.2.3                  | FORGE    | UNKNOWN           | 2024-12-18 22:21:32 |
[20Dec2024 22:00:47.309] [main/INFO] [Mods Optimizer/]: | treechop                           | 0.19.0                 | FORGE    | UNKNOWN           | 2024-07-25 13:59:42 |
[20Dec2024 22:00:47.309] [main/INFO] [Mods Optimizer/]: | fibers                             | 1.3.0                  | FORGE    | DEFAULT           | 2024-09-09 15:22:24 |
[20Dec2024 22:00:47.310] [main/INFO] [Mods Optimizer/]: | betterdungeons                     | 1.204.0-4              | FORGE    | UNKNOWN           | 2024-04-18 01:09:50 |
[20Dec2024 22:00:47.310] [main/INFO] [Mods Optimizer/]: | easyanvils                         | 8.0.2                  | FORGE    | DEFAULT           | 2024-03-04 10:07:14 |
[20Dec2024 22:00:47.311] [main/INFO] [Mods Optimizer/]: | betterwitchhuts                    | 1.203.0-3              | FORGE    | UNKNOWN           | 2023-09-26 00:52:20 |
[20Dec2024 22:00:47.312] [main/INFO] [Mods Optimizer/]: | alexsmobs                          | 1.22.8                 | FORGE    | DEFAULT           | 2024-12-18 22:21:28 |
[20Dec2024 22:00:47.312] [main/INFO] [Mods Optimizer/]: | geckolib                           | 4.4.7                  | FORGE    | DEFAULT           | 2024-06-23 07:30:34 |
[20Dec2024 22:00:47.313] [main/INFO] [Mods Optimizer/]: | playeranimator                     | 1.0.2-rc1+1.20         | FORGE    | UNKNOWN           | 2024-12-20 20:40:05 |
[20Dec2024 22:00:47.313] [main/INFO] [Mods Optimizer/]: | dynamiclights                      | 2.0.0                  | FORGE    | UNKNOWN           | 2023-11-12 08:08:43 |
[20Dec2024 22:00:47.314] [main/INFO] [Mods Optimizer/]: | sophisticatedcore                  | 6.25.632               | FORGE    | DEFAULT           | 2024-08-22 21:40:41 |
[20Dec2024 22:00:47.315] [main/INFO] [Mods Optimizer/]: | duckling                           | 3.0.0                  | FORGE    | DEFAULT           | 2024-12-18 22:21:29 |
[20Dec2024 22:00:47.315] [main/INFO] [Mods Optimizer/]: | xaeroworldmap                      | 1.39.0                 | FORGE    | DEFAULT           | 2024-08-23 11:15:18 |
[20Dec2024 22:00:47.316] [main/INFO] [Mods Optimizer/]: | placebo                            | 8.6.2                  | FORGE    | UNKNOWN           | 2024-06-10 00:10:20 |
[20Dec2024 22:00:47.317] [main/INFO] [Mods Optimizer/]: | citadel                            | 2.6.0                  | FORGE    | DEFAULT           | 2024-08-15 15:06:41 |
[20Dec2024 22:00:47.317] [main/INFO] [Mods Optimizer/]: | yungsapi                           | 1.204.0-5              | FORGE    | UNKNOWN           | 2024-05-09 22:27:17 |
[20Dec2024 22:00:47.318] [main/INFO] [Mods Optimizer/]: | zombieawareness                    | 1.20.1-1.13.1          | FORGE    | UNKNOWN           | 2024-02-10 14:35:33 |
[20Dec2024 22:00:47.319] [main/INFO] [Mods Optimizer/]: | spellbound_weapons_mr              | 0.0.0                  | MIXED    | DATA_PACK         | 2024-12-18 22:21:31 |
[20Dec2024 22:00:47.319] [main/INFO] [Mods Optimizer/]: | sophisticatedbackpacks             | 3.20.6-1064            | FORGE    | DEFAULT           | 2024-08-22 21:40:02 |
[20Dec2024 22:00:47.321] [main/INFO] [Mods Optimizer/]: | achiopt                            | 1.0.5                  | FORGE    | DEFAULT           | 2024-05-22 12:21:55 |
[20Dec2024 22:00:47.322] [main/INFO] [Mods Optimizer/]: | apotheosis                         | 7.4.2                  | FORGE    | UNKNOWN           | 2024-08-18 20:47:13 |
[20Dec2024 22:00:47.324] [main/INFO] [Mods Optimizer/]: | hammers                            | 2.0.0                  | FORGE    | UNKNOWN           | 2024-12-18 22:21:29 |
[20Dec2024 22:00:47.327] [main/INFO] [Mods Optimizer/]: | balm                               | 7.3.9                  | FORGE    | DEFAULT           | 2024-08-19 19:50:39 |
[20Dec2024 22:00:47.328] [main/INFO] [Mods Optimizer/]: | carryon                            | 2.1.2-7                | FORGE    | DEFAULT           | 2023-11-19 22:01:15 |
[20Dec2024 22:00:47.329] [main/INFO] [Mods Optimizer/]: | projectile_damage                  | 3.2.2+1.20.1           | FORGE    | DEFAULT           | 2024-12-18 22:21:30 |
[20Dec2024 22:00:47.329] [main/INFO] [Mods Optimizer/]: | cloth_config                       | 11.1.118               | FORGE    | DEFAULT           | 2024-12-18 22:21:29 |
[20Dec2024 22:00:47.330] [main/INFO] [Mods Optimizer/]: | paraglider                         | 20.1.3                 | FORGE    | DEFAULT           | 2024-12-18 22:21:27 |
[20Dec2024 22:00:47.330] [main/INFO] [Mods Optimizer/]: | stackrefill                        | 4.5.0                  | MIXED    | UNKNOWN           | 2024-07-27 20:07:32 |
[20Dec2024 22:00:47.331] [main/INFO] [Mods Optimizer/]: | twilightforest                     | 4.3.2508               | FORGE    | DEFAULT           | 2024-06-24 18:00:24 |
[20Dec2024 22:00:47.331] [main/INFO] [Mods Optimizer/]: | terramity                          | 9.6.1                  | FORGE    | UNKNOWN           | 2024-12-18 22:21:31 |
[20Dec2024 22:00:47.332] [main/INFO] [Mods Optimizer/]: | steelhngrs_dragon_ball_cosmetics   | 1.0.0                  | FORGE    | UNKNOWN           | 2024-12-18 22:21:31 |
[20Dec2024 22:00:47.332] [main/INFO] [Mods Optimizer/]: | biomesoplenty                      | 18.0.0-598             | FORGE    | DEFAULT           | 2023-09-23 09:57:59 |
